id,texto,sentimiento,confianza
504,"Calidad regular, no destaca en nada!",neutro,0.83
505,"Material aceptable, podría ser mejor",neutro,0.55
506,"El producto es normal, nada especial!",neutro,0.82
507,"Materiales de muy baja calidad, se nota.",negativo,0.87
508,La descripción coincide perfectamente con el producto.,positivo,0.82
509,No me arrepiento pero no estoy emocionado,neutro,0.76
510,Aceptable pero mejorable en varios aspectos!,neutro,0.67
511,La descripción coincide perfectamente con el producto.,positivo,0.94
512,"No sirve para lo que lo necesitaba, inútil",negativo,0.87
513,Superó mis expectativas en todo sentido.,positivo,0.98
514,"Exactamente como en las fotos, muy bueno",positivo,0.89
515,Calidad superior a productos similares,positivo,0.82
516,Precio acorde a lo que ofrece.,neutro,0.8
517,"Me solucionó el problema que tenía, genial",positivo,0.75
518,Superó mis expectativas en todo sentido,positivo,0.78
519,No tengo quejas pero tampoco elogios,neutro,0.76
520,"Sin ningún problema, todo perfecto!",positivo,0.93
521,"Producto duradero y resistente, me gusta!",positivo,0.79
522,El peor producto que he comprado en línea,negativo,0.82
523,No tengo quejas pero tampoco elogios,neutro,0.75
524,Producto resistente y bien construido,positivo,0.82
525,Llegó el producto equivocado y no solucionan,negativo,0.97
526,"Pésima calidad, no lo recomiendo para nada!",negativo,0.9
527,"Está bien por el momento, veremos con el tiempo!",neutro,0.57
528,"No tengo ninguna queja, todo bien!",positivo,0.86
529,"El vendedor bloqueó mis mensajes, estafa",negativo,0.71
530,"La calidad es increíble, totalmente recomendado",positivo,0.79
531,Llegó incompleto y con partes rotas,negativo,0.76
532,"Muy satisfecho, compra inteligente",positivo,0.99
533,Vino incompleto y faltaban piezas importantes,negativo,0.82
534,Proceso de compra muy fácil y rápido,positivo,0.91
535,"Calidad media, como la mayoría del mercado",neutro,0.59
536,El peor producto que he comprado en línea,negativo,0.89
537,Empaque impecable y producto excelente,positivo,0.88
538,"Excelente producto, superó mis expectativas completamente",positivo,0.91
539,El empaque venía destruido y el producto dañado.,negativo,0.85
540,"Estafa total, no compren aquí",negativo,0.75
541,Envío seguro y producto intacto,positivo,0.91
542,La descripción coincide perfectamente con el producto!,positivo,0.81
543,Producto auténtico y de alta calidad!,positivo,0.87
544,Calidad horrible por el precio que pagué,negativo,0.7
545,"Estoy feliz con mi compra, gracias.",positivo,0.83
546,Producto decente para el precio,neutro,0.76
547,"Calidad pésima, se desarmó al primer uso!",negativo,0.78
548,Precio acorde a lo que ofrece.,neutro,0.53
549,Producto completamente diferente a las fotos,negativo,0.82
550,"Muy satisfecho, compra inteligente",positivo,0.86
551,"No tengo ninguna queja, todo bien!",positivo,0.83
552,"Tardó más de un mes en llegar, terrible",negativo,0.91
553,"Mal servicio y peor producto, evítenlo",negativo,0.79
554,"Recomendado para todos, excelente compra",positivo,0.88
555,Funciona bien pero tiene algunos detalles,neutro,0.75
556,"Calidad regular, no destaca en nada",neutro,0.56
557,Producto resistente y bien construido,positivo,0.96
558,"La calidad es increíble, totalmente recomendado!",positivo,0.85
559,Producto versátil y de buena calidad 👍,positivo,0.83
560,"Funciona como esperaba, muy eficiente",positivo,0.96
561,"Muy satisfecho, compra inteligente.",positivo,0.88
562,No es la gran cosa pero funciona,neutro,0.65
563,Producto estándar sin características especiales.,neutro,0.72
564,Producto defectuoso desde el inicio.,negativo,0.74
565,"Muy satisfecho con la compra, volveré a comprar.",positivo,0.76
566,"Pérdida de tiempo y dinero, terrible experiencia",negativo,0.73
567,"No vale la pena, busquen otras opciones 👍",negativo,0.88
568,"Me encantó, justo lo que estaba buscando.",positivo,0.79
569,"No tengo ninguna queja, todo bien",positivo,0.81
570,"Es lo que esperaba, ni más ni menos!",neutro,0.77
571,El mejor producto que he comprado este año,positivo,0.88
572,Muy buen acabado y presentación.,positivo,0.79
573,"Es correcto, sin sorpresas buenas ni malas",neutro,0.62
574,"Producto duradero y resistente, me gusta!",positivo,0.9
575,Proceso de compra muy fácil y rápido.,positivo,0.99
576,No tengo quejas pero tampoco elogios,neutro,0.55
577,"No tengo ninguna queja, todo bien",positivo,0.98
578,Calidad horrible por el precio que pagué!,negativo,0.94
579,"El servicio al cliente fue excepcional, muy atentos",positivo,0.91
580,"Pésima calidad, no lo recomiendo para nada!",negativo,0.79
581,"No tengo ninguna queja, todo bien",positivo,0.78
582,"Excelente producto, superó mis expectativas completamente",positivo,0.81
583,"Producto promedio, estándar del mercado.",neutro,0.59
584,Producto decente para el precio,neutro,0.75
585,"El producto es normal, nada especial",neutro,0.59
586,"No funciona correctamente, quiero devolución",negativo,0.81
587,Llegó el producto equivocado y no solucionan!,negativo,0.76
588,"No sirve para lo que lo necesitaba, inútil.",negativo,0.79
589,"Excelente producto, superó mis expectativas completamente.",positivo,0.85
590,"Me solucionó el problema que tenía, genial",positivo,0.91
591,"Muy satisfecho, compra inteligente.",positivo,0.97
592,"Producto promedio, estándar del mercado",neutro,0.56
593,"El vendedor bloqueó mis mensajes, estafa",negativo,0.97
594,"El producto es normal, nada especial",neutro,0.63
595,No es malo pero tampoco es extraordinario,neutro,0.73
596,"Estoy feliz con mi compra, gracias.",positivo,0.89
597,"Producto duradero y resistente, me gusta.",positivo,0.91
598,"Pésima calidad, no lo recomiendo para nada",negativo,0.7
599,"No puedo creer que vendan esto, malísimo!",negativo,0.78
600,Vino incompleto y faltaban piezas importantes,negativo,0.93
601,"El servicio al cliente fue excepcional, muy atentos",positivo,0.85
602,Producto auténtico y de alta calidad,positivo,0.9
603,"Producto premium, vale cada peso invertido",positivo,0.78
604,Producto auténtico y de alta calidad 😊,positivo,0.86
605,"No funciona correctamente, quiero devolución",negativo,0.84
606,Cumple expectativas básicas solamente,neutro,0.54
607,Producto auténtico y de alta calidad,positivo,0.84
608,Atención al detalle impresionante,positivo,0.84
609,El producto no sirve absolutamente para nada,negativo,0.72
610,El producto no sirve absolutamente para nada,negativo,0.73
611,Producto original y de muy buena calidad 👍,positivo,0.91
612,"El servicio al cliente fue excepcional, muy atentos.",positivo,0.83
613,Cumple expectativas básicas solamente.,neutro,0.54
614,"Pérdida de tiempo y dinero, terrible experiencia.",negativo,0.75
615,"Tardó más de un mes en llegar, terrible",negativo,0.86
616,Producto defectuoso desde el inicio 👍,negativo,0.8
617,"Es un producto básico, cumple lo mínimo",neutro,0.75
618,"Dinero tirado a la basura, muy malo.",negativo,0.7
619,No es la gran cosa pero funciona,neutro,0.61
620,Producto versátil y de buena calidad,positivo,0.91
621,Es aceptable por el precio que tiene,neutro,0.66
622,Llegó antes de lo esperado y en perfectas condiciones,positivo,0.96
623,Cumple expectativas básicas solamente,neutro,0.63
624,"Muy satisfecho con la compra, volveré a comprar",positivo,0.82
625,"Recibí exactamente lo que pedí, perfecto",positivo,0.87
626,"Vendedor irresponsable, no responde reclamos",negativo,0.85
627,Producto original y de muy buena calidad,positivo,0.77
628,Está bien para uso ocasional,neutro,0.81
629,"Es correcto, sin sorpresas buenas ni malas",neutro,0.76
630,Tardanza excesiva y producto mediocre.,negativo,0.78
631,No tengo quejas pero tampoco elogios,neutro,0.79
632,Calidad horrible por el precio que pagué!,negativo,0.73
633,"Recomendado para todos, excelente compra!",positivo,0.9
634,"El servicio al cliente es pésimo, no ayudan",negativo,0.75
635,No tengo quejas pero tampoco elogios,neutro,0.59
636,"Lo uso todos los días, muy útil",positivo,0.96
637,Producto original y de muy buena calidad,positivo,0.86
638,Cumple expectativas básicas solamente,neutro,0.84
639,"Mal servicio y peor producto, evítenlo",negativo,0.71
640,Llegó bien pero es bastante simple,neutro,0.69
641,"Recibí exactamente lo que pedí, perfecto",positivo,0.86
642,"Me encantó, justo lo que estaba buscando",positivo,0.88
643,Producto auténtico y de alta calidad,positivo,0.99
644,Aceptable pero mejorable en varios aspectos!,neutro,0.72
645,El mejor producto que he comprado este año,positivo,0.94
646,"No vale la pena, busquen otras opciones",negativo,0.93
647,Cumple expectativas básicas solamente,neutro,0.84
648,"Es lo que esperaba, ni más ni menos",neutro,0.79
649,"Producto de muy mala calidad, no lo compren!",negativo,0.7
650,No es la gran cosa pero funciona,neutro,0.67
651,"No tengo ninguna queja, todo bien!",positivo,0.94
652,Producto estándar sin características especiales,neutro,0.72
653,Precio acorde a lo que ofrece!,neutro,0.5
654,"Estafa total, no compren aquí",negativo,0.88
655,No es la gran cosa pero funciona!,neutro,0.71
656,No es la gran cosa pero funciona,neutro,0.85
657,"No cumple con lo prometido, decepcionante 👍",negativo,0.98
658,"Calidad media, como la mayoría del mercado!",neutro,0.59
659,Llegó antes de lo esperado y en perfectas condiciones!,positivo,0.99
660,Producto decente para el precio,neutro,0.51
661,"Excelente producto, superó mis expectativas completamente",positivo,0.87
662,Producto estándar sin características especiales.,neutro,0.8
663,"Calidad media, como la mayoría del mercado",neutro,0.51
664,"Producto promedio, estándar del mercado",neutro,0.65
665,La descripción coincide perfectamente con el producto,positivo,0.8
666,Llegó antes de lo esperado y en perfectas condiciones!,positivo,0.89
667,"Vendedor irresponsable, no responde reclamos.",negativo,0.86
668,La descripción coincide perfectamente con el producto,positivo,0.95
669,Producto defectuoso desde el inicio.,negativo,0.82
670,"Producto inservible, no compren!",negativo,0.74
671,"Ni bueno ni malo, simplemente normal",neutro,0.76
672,Llegó incompleto y con partes rotas!,negativo,0.95
673,"Está bien por el momento, veremos con el tiempo.",neutro,0.81
674,"Decepción total, esperaba mucho más",negativo,0.74
675,"Recibí exactamente lo que pedí, perfecto",positivo,0.95
676,"Muy satisfecho, compra inteligente",positivo,0.81
677,El mejor producto que he comprado este año,positivo,0.87
678,"Producto de imitación, no es original",negativo,0.93
679,"Es lo que esperaba, ni más ni menos",neutro,0.76
680,"Producto duradero y resistente, me gusta",positivo,0.95
681,"Materiales de muy baja calidad, se nota",negativo,0.81
682,"Es un producto básico, cumple lo mínimo",neutro,0.82
683,El producto sirve pero hay mejores opciones.,neutro,0.63
684,"Me solucionó el problema que tenía, genial.",positivo,0.96
685,Es aceptable por el precio que tiene,neutro,0.69
686,Producto auténtico y de alta calidad,positivo,0.97
687,Muy caro para la porquería que es,negativo,0.81
688,Llegó incompleto y con partes rotas 😊,negativo,0.79
689,Empaque impecable y producto excelente,positivo,0.97
690,"Producto premium, vale cada peso invertido!",positivo,0.9
691,"Dinero tirado a la basura, muy malo",negativo,0.74
692,"Pésima calidad, no lo recomiendo para nada",negativo,0.83
693,"No lo recomiendo, muy mala experiencia",negativo,0.85
694,"Materiales de muy baja calidad, se nota!",negativo,0.93
695,Cumple expectativas básicas solamente,neutro,0.54
696,"Lo uso todos los días, muy útil.",positivo,0.76
697,"No vale la pena, busquen otras opciones",negativo,0.86
698,"No tengo ninguna queja, todo bien",positivo,0.99
699,"Vendedor irresponsable, no responde reclamos",negativo,0.74
700,La descripción coincide perfectamente con el producto.,positivo,0.96
701,No tengo quejas pero tampoco elogios,neutro,0.54
702,"Producto de muy mala calidad, no lo compren!",negativo,0.83
703,Producto estándar sin características especiales!,neutro,0.57
704,Muy caro para la porquería que es,negativo,0.85
705,No tengo quejas pero tampoco elogios,neutro,0.62
706,Vino incompleto y faltaban piezas importantes.,negativo,0.96
707,"Sin ningún problema, todo perfecto",positivo,0.97
708,Diseño hermoso y funcional a la vez.,positivo,0.92
709,El producto no sirve absolutamente para nada,negativo,0.82
710,Producto decente para el precio,neutro,0.66
711,"Calidad pésima, se desarmó al primer uso.",negativo,0.74
712,"No cumple con lo prometido, decepcionante",negativo,0.97
713,Atención al detalle impresionante,positivo,0.97
714,El producto no sirve absolutamente para nada,negativo,0.85
715,"Funciona como esperaba, muy eficiente",positivo,0.82
716,Llegó antes de lo esperado y en perfectas condiciones,positivo,0.81
717,"Mejor de lo que esperaba, muy contento",positivo,0.95
718,Producto estándar sin características especiales!,neutro,0.7
719,Tardanza excesiva y producto mediocre,negativo,0.93
720,Muy buen acabado y presentación,positivo,0.88
721,"Calidad regular, no destaca en nada",neutro,0.61
722,Sorprendido gratamente con la calidad.,positivo,0.93
723,"Totalmente insatisfecho, quiero mi dinero de vuelta",negativo,0.88
724,Muy buen acabado y presentación.,positivo,0.87
725,La mejor opción en el mercado actualmente 👍,positivo,0.77
726,"Pésima calidad, no lo recomiendo para nada",negativo,0.74
727,Diseño hermoso y funcional a la vez,positivo,0.86
728,La descripción coincide perfectamente con el producto.,positivo,0.86
729,"Me encantó, justo lo que estaba buscando",positivo,0.9
730,El producto no sirve absolutamente para nada,negativo,0.73
731,"SIN NINGÚN PROBLEMA, TODO PERFECTO",positivo,0.92
732,"No funciona correctamente, quiero devolución",negativo,0.77
733,"Servicio estándar, nada fuera de lo común",neutro,0.6
734,El producto sirve pero hay mejores opciones,neutro,0.68
735,Precio acorde a lo que ofrece 👍,neutro,0.6
736,No tengo quejas pero tampoco elogios,neutro,0.78
737,Es un producto común y corriente!,neutro,0.69
738,"Me solucionó el problema que tenía, genial.",positivo,0.75
739,"Calidad pésima, se desarmó al primer uso.",negativo,0.89
740,No cumple ninguna de las características anunciadas,negativo,0.7
741,El producto sirve pero hay mejores opciones!,neutro,0.67
742,"Calidad media, como la mayoría del mercado!",neutro,0.58
743,"Pérdida de tiempo y dinero, terrible experiencia",negativo,0.95
744,"Servicio estándar, nada fuera de lo común",neutro,0.81
745,"El servicio al cliente fue excepcional, muy atentos",positivo,0.82
746,Producto completamente diferente a las fotos!,negativo,0.92
747,Está bien para uso ocasional,neutro,0.72
748,"Calidad regular, no destaca en nada",neutro,0.64
749,"El producto es normal, nada especial",neutro,0.75
750,Producto estándar sin características especiales,neutro,0.6
751,EL PRODUCTO NO SIRVE ABSOLUTAMENTE PARA NADA,negativo,0.75
752,"Es correcto, sin sorpresas buenas ni malas",neutro,0.74
753,"Es correcto, sin sorpresas buenas ni malas",neutro,0.74
754,"Producto duradero y resistente, me gusta!",positivo,0.84
755,Llegó bien pero es bastante simple!,neutro,0.62
756,"Producto de muy mala calidad, no lo compren",negativo,0.76
757,El vendedor fue muy profesional y rápido,positivo,0.89
758,Producto estándar sin características especiales,neutro,0.73
759,"Producto de muy mala calidad, no lo compren",negativo,0.86
760,"Calidad pésima, se desarmó al primer uso",negativo,0.72
761,"Exactamente como en las fotos, muy bueno!",positivo,0.88
762,Muy caro para la porquería que es,negativo,0.79
763,Producto resistente y bien construido.,positivo,0.79
764,Es un producto común y corriente,neutro,0.75
765,"Tardó más de un mes en llegar, terrible!",negativo,0.77
766,"Materiales de muy baja calidad, se nota",negativo,0.91
767,Envío seguro y producto intacto,positivo,0.83
768,No me arrepiento pero no estoy emocionado,neutro,0.63
769,"Servicio estándar, nada fuera de lo común",neutro,0.57
770,Empaque impecable y producto excelente,positivo,0.9
771,Aceptable pero mejorable en varios aspectos,neutro,0.54
772,"No sirve para lo que lo necesitaba, inútil",negativo,0.91
773,Producto resistente y bien construido,positivo,0.85
774,"No sirve para lo que lo necesitaba, inútil",negativo,0.89
775,"No cumple con lo prometido, decepcionante",negativo,0.83
776,"Calidad media, como la mayoría del mercado",neutro,0.73
777,"Mal servicio y peor producto, evítenlo",negativo,0.94
778,El vendedor fue muy profesional y rápido.,positivo,0.98
779,"Funciona perfecto, tal como se describe!",positivo,0.88
780,"No sirve para lo que lo necesitaba, inútil",negativo,0.8
781,"No vale la pena, busquen otras opciones",negativo,0.95
782,Llegó dañado y el vendedor no responde,negativo,0.85
783,"Me encantó, justo lo que estaba buscando",positivo,0.85
784,"Muy satisfecho con la compra, volveré a comprar",positivo,0.76
785,Empaque impecable y producto excelente,positivo,0.88
786,"Excelente producto, superó mis expectativas completamente",positivo,0.92
787,Precio acorde a lo que ofrece,neutro,0.57
788,Llegó bien pero es bastante simple,neutro,0.58
789,Llegó el producto equivocado y no solucionan,negativo,0.81
790,"Mejor de lo que esperaba, muy contento",positivo,0.87
791,"Pérdida de tiempo y dinero, terrible experiencia.",negativo,0.8
792,Muy caro para la porquería que es,negativo,0.9
793,"Cumple su función básica, sin más",neutro,0.72
794,Aceptable pero mejorable en varios aspectos,neutro,0.84
795,Producto estándar sin características especiales,neutro,0.84
796,"Dinero tirado a la basura, muy malo",negativo,0.74
797,"Es correcto, sin sorpresas buenas ni malas.",neutro,0.84
798,"Está bien por el momento, veremos con el tiempo!",neutro,0.73
799,Llegó el producto equivocado y no solucionan,negativo,0.83
800,"El producto es normal, nada especial!",neutro,0.75
801,"Producto inservible, no compren.",negativo,0.81
802,No es la gran cosa pero funciona,neutro,0.67
803,"No puedo creer que vendan esto, malísimo",negativo,0.89
804,"Calidad media, como la mayoría del mercado",neutro,0.8
805,"Lo recomiendo 100%, no se arrepentirán.",positivo,0.95
806,Precio justo para la calidad que ofrece!,positivo,0.84
807,El producto no sirve absolutamente para nada!,negativo,0.95
808,Producto resistente y bien construido!,positivo,0.83
809,"Producto de muy mala calidad, no lo compren",negativo,0.91
810,Muy buen acabado y presentación.,positivo,0.8
811,"Decepción total, esperaba mucho más",negativo,0.85
812,"Recomendado para todos, excelente compra",positivo,0.95
813,"Producto inservible, no compren",negativo,0.83
814,No es la gran cosa pero funciona,neutro,0.52
815,"Calidad regular, no destaca en nada",neutro,0.65
816,Cumple expectativas básicas solamente,neutro,0.67
817,El producto sirve pero hay mejores opciones,neutro,0.6
818,"Producto de muy mala calidad, no lo compren",negativo,0.8
819,"Me solucionó el problema que tenía, genial",positivo,0.79
820,"Calidad pésima, se desarmó al primer uso",negativo,0.93
821,"Lo uso todos los días, muy útil",positivo,0.83
822,"No vale la pena, busquen otras opciones",negativo,0.94
823,"Mal servicio y peor producto, evítenlo.",negativo,0.82
824,"Materiales de muy baja calidad, se nota",negativo,0.89
825,Producto defectuoso desde el inicio,negativo,0.76
826,"Producto de imitación, no es original 👍",negativo,0.81
827,Producto decente para el precio,neutro,0.63
828,"Estoy feliz con mi compra, gracias!",positivo,0.91
829,"Exactamente como en las fotos, muy bueno",positivo,0.99
830,"Ni bueno ni malo, simplemente normal",neutro,0.72
831,Diseño hermoso y funcional a la vez.,positivo,0.93
832,"Es lo que esperaba, ni más ni menos.",neutro,0.72
833,"Calidad media, como la mayoría del mercado!",neutro,0.54
834,"La calidad es increíble, totalmente recomendado",positivo,0.83
835,"Lo recomiendo 100%, no se arrepentirán",positivo,0.83
836,Funciona bien pero tiene algunos detalles,neutro,0.57
837,"Materiales de muy baja calidad, se nota",negativo,0.7
838,Precio acorde a lo que ofrece.,neutro,0.5
839,No cumple ninguna de las características anunciadas,negativo,0.75
840,"No funciona como se describe, mentiras.",negativo,0.87
841,El empaque venía destruido y el producto dañado,negativo,0.98
842,"Mal servicio y peor producto, evítenlo.",negativo,0.95
843,"No vale la pena, busquen otras opciones",negativo,0.97
844,Envío seguro y producto intacto,positivo,0.94
845,No es la gran cosa pero funciona,neutro,0.77
846,El producto no sirve absolutamente para nada,negativo,0.97
847,"Estafa total, no compren aquí",negativo,0.77
848,"No funciona correctamente, quiero devolución",negativo,0.76
849,"No lo recomiendo, muy mala experiencia",negativo,0.96
850,"Exactamente como en las fotos, muy bueno!",positivo,0.97
851,Envío seguro y producto intacto,positivo,0.81
852,"Es un producto básico, cumple lo mínimo",neutro,0.74
853,No es la gran cosa pero funciona!,neutro,0.84
854,"Me solucionó el problema que tenía, genial",positivo,0.99
855,"Sin ningún problema, todo perfecto",positivo,0.78
856,"No tengo ninguna queja, todo bien.",positivo,0.97
857,"Es correcto, sin sorpresas buenas ni malas!",neutro,0.74
858,Muy buen acabado y presentación,positivo,0.79
859,"Producto inservible, no compren",negativo,0.74
860,No es malo pero tampoco es extraordinario,neutro,0.78
861,"Funciona perfecto, tal como se describe",positivo,0.89
862,"Producto duradero y resistente, me gusta",positivo,0.84
863,"No puedo creer que vendan esto, malísimo",negativo,0.81
864,"Materiales de muy baja calidad, se nota.",negativo,0.76
865,"No tengo ninguna queja, todo bien",positivo,0.84
866,"Materiales de muy baja calidad, se nota.",negativo,0.82
867,Llegó el producto equivocado y no solucionan,negativo,0.82
868,La mejor opción en el mercado actualmente.,positivo,0.86
869,"Funciona como esperaba, muy eficiente",positivo,0.94
870,Calidad horrible por el precio que pagué!,negativo,0.93
871,Vino incompleto y faltaban piezas importantes,negativo,0.89
872,Calidad superior a productos similares,positivo,0.8
873,"Producto promedio, estándar del mercado",neutro,0.56
874,"Llegó usado o defectuoso, inaceptable",negativo,0.97
875,"Está bien por el momento, veremos con el tiempo!",neutro,0.73
876,"Hace lo que debe hacer, nada más.",neutro,0.75
877,"Cinco estrellas sin dudarlo, perfecto",positivo,0.94
878,"Calidad media, como la mayoría del mercado",neutro,0.69
879,"Material de excelente calidad, se nota",positivo,0.86
880,La descripción coincide perfectamente con el producto.,positivo,0.87
881,La descripción coincide perfectamente con el producto,positivo,0.92
882,"No vale la pena, busquen otras opciones",negativo,0.95
883,Producto versátil y de buena calidad!,positivo,0.96
884,Envío seguro y producto intacto,positivo,0.92
885,Producto decente para el precio,neutro,0.73
886,"Mejor de lo que esperaba, muy contento.",positivo,0.93
887,"Es un producto básico, cumple lo mínimo",neutro,0.55
888,"Funciona perfecto, tal como se describe.",positivo,0.82
889,Está bien para uso ocasional.,neutro,0.67
890,"Llegó bien protegido, excelente empaque!",positivo,0.78
891,"Estafa total, no compren aquí",negativo,0.93
892,"Materiales de muy baja calidad, se nota",negativo,0.78
893,Llegó el producto equivocado y no solucionan!,negativo,0.85
894,El vendedor fue muy profesional y rápido.,positivo,0.94
895,"No lo recomiendo, muy mala experiencia",negativo,0.92
896,Atención al detalle impresionante,positivo,0.93
897,"El vendedor bloqueó mis mensajes, estafa",negativo,0.73
898,"No cumple con lo prometido, decepcionante",negativo,0.86
899,Tardanza excesiva y producto mediocre,negativo,0.82
900,"Hace lo que debe hacer, nada más",neutro,0.73
901,Es aceptable por el precio que tiene!,neutro,0.5
902,Producto decente para el precio,neutro,0.82
903,Calidad superior a productos similares,positivo,0.77
904,Muy buen acabado y presentación,positivo,0.77
905,La descripción coincide perfectamente con el producto,positivo,0.96
906,Muy caro para la porquería que es,negativo,0.95
907,"El servicio al cliente es pésimo, no ayudan.",negativo,0.91
908,"Llegó usado o defectuoso, inaceptable",negativo,0.96
909,"Tardó más de un mes en llegar, terrible!",negativo,0.71
910,"Mal servicio y peor producto, evítenlo",negativo,0.78
911,"Ni bueno ni malo, simplemente normal!",neutro,0.73
912,"Es lo que esperaba, ni más ni menos.",neutro,0.64
913,Producto versátil y de buena calidad!,positivo,0.77
914,"No cumple con lo prometido, decepcionante",negativo,0.8
915,"Excelente producto, superó mis expectativas completamente",positivo,0.99
916,La mejor opción en el mercado actualmente,positivo,0.76
917,"Servicio estándar, nada fuera de lo común",neutro,0.6
918,No tengo quejas pero tampoco elogios,neutro,0.7
919,"No funciona como se describe, mentiras",negativo,0.8
920,"Recomendado para todos, excelente compra",positivo,0.75
921,"No tengo ninguna queja, todo bien.",positivo,0.85
922,"Cumple todas mis necesidades, fantástico",positivo,0.77
923,"Servicio estándar, nada fuera de lo común!",neutro,0.52
924,El peor producto que he comprado en línea.,negativo,0.8
925,"Producto de muy mala calidad, no lo compren",negativo,0.75
926,Tardanza excesiva y producto mediocre!,negativo,0.73
927,"La calidad es increíble, totalmente recomendado",positivo,0.77
928,"Excelente producto, superó mis expectativas completamente",positivo,0.85
929,Empaque impecable y producto excelente!,positivo,0.97
930,"Cumple su función básica, sin más",neutro,0.85
931,Llegó incompleto y con partes rotas,negativo,0.92
932,Atención al detalle impresionante,positivo,0.91
933,Llegó bien pero es bastante simple,neutro,0.61
934,"Me encantó, justo lo que estaba buscando",positivo,0.99
935,"Material de excelente calidad, se nota",positivo,0.96
936,"Sin ningún problema, todo perfecto",positivo,0.98
937,Llegó dañado y el vendedor no responde.,negativo,0.94
938,"Muy satisfecho, compra inteligente",positivo,0.89
939,"Recibí exactamente lo que pedí, perfecto",positivo,0.83
940,"Mejor de lo que esperaba, muy contento",positivo,0.91
941,"Ni bueno ni malo, simplemente normal",neutro,0.57
942,"Producto promedio, estándar del mercado",neutro,0.5
943,"Calidad pésima, se desarmó al primer uso",negativo,0.9
944,"Ni bueno ni malo, simplemente normal!",neutro,0.57
945,"Pésima calidad, no lo recomiendo para nada",negativo,0.82
946,No es malo pero tampoco es extraordinario,neutro,0.66
947,"No sirve para lo que lo necesitaba, inútil.",negativo,0.84
948,"Es lo que esperaba, ni más ni menos.",neutro,0.67
949,"Funciona como esperaba, muy eficiente!",positivo,0.77
950,"Vendedor irresponsable, no responde reclamos",negativo,0.79
951,"Producto promedio, estándar del mercado",neutro,0.76
952,Producto completamente diferente a las fotos,negativo,0.97
953,"El vendedor bloqueó mis mensajes, estafa.",negativo,0.78
954,Diseño hermoso y funcional a la vez 👍,positivo,0.84
955,No es malo pero tampoco es extraordinario,neutro,0.71
956,"Dinero tirado a la basura, muy malo",negativo,0.85
957,"No funciona correctamente, quiero devolución!",negativo,0.94
958,"Mal servicio y peor producto, evítenlo",negativo,0.89
959,Estoy esperando reembolso desde hace semanas,negativo,0.83
960,Proceso de compra muy fácil y rápido,positivo,0.98
961,El producto no sirve absolutamente para nada,negativo,0.92
962,"Materiales de muy baja calidad, se nota",negativo,0.89
963,No es malo pero tampoco es extraordinario.,neutro,0.68
964,Producto completamente diferente a las fotos,negativo,0.85
965,Precio justo para la calidad que ofrece.,positivo,0.89
966,"Exactamente como en las fotos, muy bueno",positivo,0.96
967,La descripción coincide perfectamente con el producto.,positivo,0.95
968,"Vendedor irresponsable, no responde reclamos",negativo,0.84
969,"Recomendado para todos, excelente compra",positivo,0.96
970,"Producto premium, vale cada peso invertido!",positivo,0.87
971,Funciona bien pero tiene algunos detalles,neutro,0.79
972,Producto resistente y bien construido,positivo,0.98
973,"Funciona perfecto, tal como se describe",positivo,0.97
974,"Es un producto básico, cumple lo mínimo.",neutro,0.56
975,Llegó el producto equivocado y no solucionan,negativo,0.93
976,No responden mensajes ni dan soluciones,negativo,0.9
977,"Funciona como esperaba, muy eficiente",positivo,0.98
978,"El producto es normal, nada especial!",neutro,0.75
979,Producto resistente y bien construido,positivo,0.85
980,El producto no sirve absolutamente para nada!,negativo,0.86
981,Producto auténtico y de alta calidad!,positivo,0.92
982,El empaque venía destruido y el producto dañado,negativo,0.78
983,Está bien para uso ocasional!,neutro,0.81
984,Producto resistente y bien construido,positivo,0.75
985,"Cinco estrellas sin dudarlo, perfecto",positivo,0.91
986,Atención al detalle impresionante,positivo,0.78
987,"Producto inservible, no compren.",negativo,0.75
988,"Recomendado para todos, excelente compra.",positivo,0.85
989,Calidad superior a productos similares,positivo,0.95
990,"Estafa total, no compren aquí",negativo,0.89
991,Llegó antes de lo esperado y en perfectas condiciones.,positivo,0.9
992,"No puedo creer que vendan esto, malísimo!",negativo,0.88
993,Producto resistente y bien construido,positivo,0.98
994,"Pésima calidad, no lo recomiendo para nada.",negativo,0.94
995,"Producto premium, vale cada peso invertido!",positivo,0.9
996,Producto resistente y bien construido,positivo,0.85
997,"Producto duradero y resistente, me gusta",positivo,0.88
998,"Llegó en el tiempo indicado, sin problemas!",neutro,0.69
999,"Calidad pésima, se desarmó al primer uso!",negativo,0.88
1000,"Lo recomiendo 100%, no se arrepentirán!",positivo,0.89
